docker 127.0.0.1 - - [03/01/2017:21:22:51 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:51 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:51 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:51 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:52 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:52 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:52 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:52 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:52 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:52 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:52 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:52 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:53 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:53 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:53 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:53 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:53 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:53 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:53 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:53 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:55 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:55 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:55 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:55 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:55 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:55 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:55 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:55 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:56 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:56 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:56 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:56 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:56 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:56 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:56 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:56 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:57 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:57 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:57 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:57 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:57 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:57 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:57 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:57 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:58 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:58 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:58 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:58 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:58 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:58 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:58 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:58 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:59 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:59 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:59 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:59 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:59 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:59 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:59 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:59 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:23:00 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
